"","symbol","X","et.avg","et.sd","pval.x","pval.t"
"34","01044.HK",0.995630738397536,0.00242742258481643,0.0564372437930891,7.576984885988e-265,0.274392652813998
"35","01045.HK",1.01337293143089,0.0204466862971368,0.102470665274702,9.87202771290236e-218,4.06668616266976e-10
"36","01046.HK",0.994423836812276,-0.012575783955223,0.172099008091931,2.98080416561003e-174,0.00219262309487384
"37","01047.HK",1.00765112551534,0.0105664390595664,0.0994972577902345,1.1535764313067e-219,4.31054614123017e-08
"38","01049.HK",0.999323541122992,-0.0143290806063447,0.165339801765948,7.12879577284417e-178,1.8449619994201e-07
"39","01050.HK",1.02025279463937,0.0246752848992471,0.0995029173027182,1.13955791869982e-220,3.95871559794252e-08
"40","01051.HK",1.00613551468123,-0.0171311055096943,0.159518076972141,2.6080341334007e-181,5.81526416124618e-16
"41","01052.HK",0.999615324483471,0.00416082509181367,0.0554004759036489,1.10259443581614e-266,6.02290162172036e-09
"42","01053.HK",1.00294613088736,0.000125603900361964,0.116929810007631,3.53503438455125e-206,1.17619410846499e-09
"43","01055.HK",0.999969060112892,0.00423572894489683,0.100106001840237,1.51158264230503e-218,0.000790789950560896
"44","01057.HK",1.01685460779442,0.0242496600507727,0.134432166023476,1.92753943599453e-190,8.27488411892958e-10
"45","01058.HK",0.99852874745081,0.00322493623365951,0.148068188609759,1.04086770240082e-186,1.71516500779061e-17
"46","00106.HK",1.0141518586156,0.0182771884427961,0.143550964049307,1.81650310043992e-190,1.41819765975247e-17
"47","01060.HK",0.985635452184683,-0.0102568193692548,0.182689100894609,9.70776769294576e-169,1.63266883780497e-15
"48","01061.HK",1.00678091455505,0.0246017048948862,0.112581222605192,1.45988332941432e-209,4.86135426796227e-06
"49","01062.HK",1.00730439300628,0.00430587829995108,0.124425034308375,1.71257388756398e-201,6.68892605751134e-11
"50","01063.HK",1.02624436344788,-0.00184669345011084,0.25553531690454,3.49612092625613e-145,4.92205836414174e-10
"51","01064.HK",1.00509991477623,-0.00541144005158103,0.144677064321036,4.12636941275454e-189,1.1857799451956e-12
"52","01065.HK",1.01031978685035,0.014596026356756,0.0863408071397562,2.06772950820131e-231,1.58879883101079e-06
"53","01066.HK",0.985420873771635,-0.00235159692974124,0.0915599964481449,1.31263556892496e-224,0.125332323980863
"54","01068.HK",0.994774734407014,-0.0177929924517991,0.103249198514458,1.29941184999696e-215,8.79810808107797e-08
"55","00107.HK",1.00014608666318,0.00304097439755752,0.0604941445030716,1.47502764243827e-259,4.35594029008391e-05
"56","01070.HK",1.01939280500907,0.0164708300018677,0.111156294212595,1.31894389567681e-211,0.00598242166090538
"57","01071.HK",1.00120868378477,0.00381542384677169,0.083852674422499,4.71526896972034e-233,0.00640124324311249
"58","01072.HK",0.993594195834613,-0.00388230242179783,0.101621659580824,8.31188673666807e-217,5.54688275051697e-07
"59","01073.HK",0.99472218061044,-0.0184127421010811,0.105964239374915,4.27082886019061e-27,0.392779095623931
