Date, Open, High, Low, Close
06/16/20, 24318.15, 24534.77, 24302.25, 24344.09
06/15/20, 23991.38, 24242.97, 23684.96, 23776.95
06/12/20, 23920.70, 24317.72, 23895.03, 24301.38
06/11/20, 24997.84, 25059.32, 24480.15, 24480.15
06/10/20, 25179.03, 25303.78, 24968.30, 25049.73
06/09/20, 24906.01, 25253.67, 24837.73, 25057.22
06/08/20, 25018.05, 25018.78, 24678.55, 24776.77
06/05/20, 24388.18, 24810.22, 24253.56, 24770.41
06/04/20, 24643.84, 24643.84, 24204.10, 24366.30
06/03/20, 24303.56, 24364.01, 24219.96, 24325.62
06/02/20, 23792.24, 23995.94, 23766.15, 23995.94
06/01/20, 23539.91, 23806.32, 23539.91, 23732.52
05/29/20, 22781.11, 23089.77, 22781.11, 22961.47
05/28/20, 23206.75, 23451.78, 22779.62, 23132.76
05/27/20, 23515.14, 23515.14, 23134.61, 23301.36
05/26/20, 23198.34, 23481.48, 23165.49, 23384.66
05/25/20, 22725.70, 22968.65, 22519.73, 22952.24
05/22/20, 23756.91, 23756.91, 22878.26, 22930.14
05/21/20, 24528.91, 24528.91, 24208.16, 24280.03
05/20/20, 24462.90, 24514.87, 24315.75, 24399.95
05/19/20, 24489.55, 24552.55, 24314.45, 24388.13
05/18/20, 23736.67, 23952.05, 23722.17, 23934.77
05/15/20, 23834.68, 23985.12, 23671.61, 23797.47
05/14/20, 24038.07, 24081.19, 23790.27, 23829.74
05/13/20, 24111.67, 24320.20, 23979.37, 24180.30
05/12/20, 24358.00, 24411.04, 24136.20, 24245.68
05/11/20, 24470.18, 24766.83, 24470.18, 24602.06
05/08/20, 24193.36, 24263.73, 24097.12, 24230.17
05/07/20, 24120.81, 24120.81, 23913.50, 23980.63
05/06/20, 23868.02, 24235.03, 23868.02, 24137.48
05/05/20, 23755.77, 23928.45, 23697.88, 23868.66
05/04/20, 23895.11, 23897.53, 23584.95, 23613.80
04/29/20, 24786.02, 24855.47, 24549.62, 24643.59
04/28/20, 24401.12, 24582.66, 24176.88, 24575.96
04/27/20, 24030.66, 24318.81, 24030.54, 24280.14
04/24/20, 23844.55, 23957.17, 23730.49, 23831.33
04/23/20, 23983.65, 24107.88, 23806.30, 23977.32
04/22/20, 23540.54, 23939.29, 23483.31, 23893.36
04/21/20, 24247.84, 24247.84, 23676.13, 23793.55
04/20/20, 24503.56, 24503.56, 24225.55, 24330.02
04/17/20, 24457.83, 24666.64, 24308.78, 24380.00
04/16/20, 24025.45, 24102.91, 23854.79, 24006.45
04/15/20, 24499.86, 24603.60, 24090.50, 24145.34
04/14/20, 24347.61, 24546.39, 24283.13, 24435.40
04/09/20, 24181.32, 24308.69, 24045.18, 24300.33
04/08/20, 24191.32, 24191.32, 23897.40, 23970.37
04/07/20, 24093.05, 24262.01, 23796.03, 24253.29
04/06/20, 23558.83, 23832.93, 23271.47, 23749.12
04/03/20, 23072.95, 23236.11, 23030.58, 23236.11
04/02/20, 22838.67, 23280.06, 22756.13, 23280.06
04/01/20, 23365.90, 23540.01, 22947.64, 23085.79
03/31/20, 23613.27, 23627.53, 23238.04, 23603.48
03/30/20, 23020.85, 23491.51, 22973.33, 23175.11
03/27/20, 23768.41, 23791.20, 23354.01, 23484.28
03/26/20, 23604.83, 23604.83, 23163.67, 23352.34
03/25/20, 23255.91, 23569.45, 23062.23, 23527.19
03/24/20, 22497.57, 22753.01, 22383.25, 22663.49
03/23/20, 21659.55, 22064.31, 21659.55, 21696.13
03/20/20, 22147.34, 22805.07, 22147.34, 22805.07
03/19/20, 22221.38, 22380.34, 21139.26, 21709.13
03/18/20, 23023.34, 23425.03, 22167.42, 22291.82
03/17/20, 23001.76, 23401.20, 22676.46, 23263.73
03/16/20, 23317.81, 23631.53, 22842.25, 23063.57
03/13/20, 22519.32, 24184.48, 22519.32, 24032.91
03/12/20, 24657.67, 24657.67, 24117.94, 24309.07
03/11/20, 25459.96, 25493.23, 25140.38, 25231.61
03/10/20, 25285.68, 25578.61, 24978.97, 25392.51
03/09/20, 25134.02, 25321.28, 24948.38, 25040.46
03/06/20, 26397.78, 26408.80, 26084.23, 26146.67
03/05/20, 26348.16, 26805.58, 26315.36, 26767.87
03/04/20, 26321.56, 26372.48, 26038.39, 26222.07
03/03/20, 26419.13, 26527.75, 26233.39, 26284.82
03/02/20, 26077.73, 26375.91, 26077.73, 26291.68
02/28/20, 26249.06, 26313.55, 25989.41, 26129.93
02/27/20, 26529.17, 26849.57, 26419.97, 26778.62
02/26/20, 26479.90, 26776.06, 26479.90, 26696.49
02/25/20, 26722.39, 26914.05, 26667.04, 26893.23
02/24/20, 27105.35, 27105.35, 26813.22, 26820.88
