"","symbol","X","et.avg","et.sd","pval.x","pval.h","pval.t","r.squared","first.data.month"
"1594","00700.HK",0.996881985491618,0.0229993044409319,0.0566939587542801,3.84976011321761e-263,0.603079195117807,0.018711857147388,0.998392181698095,2006-02-01
"1595","00701.HK",1.00296364590925,0.0092818179629815,0.0931070456099527,1.86979867566143e-223,0.331152807472307,7.32018556193151e-06,0.99572671230372,2006-02-01
"1596","00702.HK",1.00490312019254,-0.0042302972943101,0.211432237827073,1.03244475788577e-157,0.944049672587272,9.69133415446147e-17,0.978434705740525,2006-02-01
"1597","00703.HK",1.01657849596016,0.0079708446930297,0.114302556841899,5.66124908963221e-208,0.104407983127961,1.74137016613616e-07,0.993742036594927,2006-02-01
"1598","00707.HK",1.01343217304132,-0.00778138853179608,0.175236279451008,1.12728886743191e-171,0.187720313193861,1.16292554441447e-10,0.985041363713983,2006-03-01
"1599","00708.HK",1.00742920734617,0.0274900080793612,0.259907729673469,1.9366998977696e-91,0.555997019332754,3.47957813056242e-14,0.921063602743017,2008-02-01
"1600","00709.HK",1.0073227790289,0.00555317731359851,0.0823875701158598,1.05841929192456e-233,0.203571442848832,1.55603589716142e-05,0.996679637847553,2006-02-01
"1601","00071.HK",1.00386363504715,0.00623548104733551,0.0498658766173243,4.09188934206229e-274,0.561186784665921,3.06218589467286e-07,0.998773150301396,2006-02-01
"1602","00710.HK",1.00986620983452,0.0167133820955114,0.105405529007446,5.55778825829351e-214,0.76610384250142,1.68153094964028e-08,0.994605962503974,2006-02-01
"1603","00711.HK",1.0003462169491,-0.000613292619437172,0.106915727402604,4.55897012158051e-212,0.194762656679219,4.83944176166101e-10,0.994342797062199,2006-02-01
"1604","00712.HK",1.04815876347798,0.00861440050339675,0.14453043681862,1.55716797842135e-105,0.129681872644752,0.000167613099678061,0.96524983415043,2009-10-01
"1605","00713.HK",1.00805796466837,0.014189575378215,0.11249485784913,1.39829816838397e-208,0.23573104156667,4.8566280886418e-13,0.9938409729456,2006-02-01
"1606","00715.HK",1.00764182944741,0.000546689538623395,0.089325509959064,3.48155486602117e-227,0.963802578482375,9.53413243674068e-11,0.996102758487324,2006-02-01
"1607","00716.HK",1.01528846442958,0.0126293858777681,0.116454347744969,2.29305599057312e-206,0.564242097037791,2.17693811434335e-08,0.993491303493304,2006-02-01
"1608","00717.HK",1.01206873040624,0.00367813066070775,0.12735757908897,1.28726842937825e-169,0.161880727606476,4.32054062577177e-13,0.988546200705122,2007-04-01
"1609","00718.HK",1.02282681136892,0.000398417320385065,0.171560025844817,8.4318325472296e-176,0.42827699873543,4.55839821940557e-06,0.986181482950732,2006-02-01
